"Date","Close","% Change","% Change vs Average","Volume"
"1992-08-31T21:00:00.000Z","417.80","0.91","0.08","4,023,850,000"
"1992-09-30T22:00:00.000Z","418.68","0.21","-0.62","4,507,010,000"
"1992-10-31T22:00:00.000Z","431.35","3.03","2.19","4,148,770,000"
"1992-11-30T22:00:00.000Z","435.71","1.01","0.18","4,876,150,000"
"1992-12-31T22:00:00.000Z","438.78","0.70","-0.13","5,280,850,000"
"1993-01-31T22:00:00.000Z","443.38","1.05","0.22","5,442,450,000"
"1993-02-28T22:00:00.000Z","451.67","1.87","1.04","5,766,950,000"
"1993-03-31T21:00:00.000Z","440.19","-2.54","-3.37","5,853,170,000"
"1993-04-30T21:00:00.000Z","450.19","2.27","1.44","5,108,640,000"
"1993-05-31T21:00:00.000Z","450.53","0.08","-0.76","5,544,400,000"
"1993-06-30T21:00:00.000Z","448.13","-0.53","-1.36","5,308,530,000"
"1993-07-31T21:00:00.000Z","463.56","3.44","2.61","5,506,200,000"
"1993-08-31T21:00:00.000Z","458.93","-1.00","-1.83","5,552,720,000"
"1993-09-30T22:00:00.000Z","467.83","1.94","1.11","5,940,460,000"
"1993-10-31T22:00:00.000Z","461.79","-1.29","-2.12","5,876,610,000"
"1993-11-30T22:00:00.000Z","466.45","1.01","0.18","5,791,210,000"
"1993-12-31T22:00:00.000Z","481.61","3.25","2.42","6,627,390,000"
"1994-01-31T22:00:00.000Z","467.14","-3.00","-3.84","5,853,100,000"
"1994-02-28T22:00:00.000Z","445.77","-4.57","-5.41","7,225,010,000"
"1994-03-31T21:00:00.000Z","450.91","1.15","0.32","5,735,010,000"
"1994-04-30T21:00:00.000Z","456.50","1.24","0.41","5,675,970,000"
"1994-05-31T21:00:00.000Z","444.27","-2.68","-3.51","5,852,670,000"
"1994-06-30T21:00:00.000Z","458.26","3.15","2.32","4,980,100,000"
"1994-07-31T21:00:00.000Z","475.49","3.76","2.93","6,398,750,000"
"1994-08-31T21:00:00.000Z","462.71","-2.69","-3.52","6,152,870,000"
"1994-09-30T22:00:00.000Z","472.35","2.08","1.25","6,344,700,000"
"1994-10-31T22:00:00.000Z","453.69","-3.95","-4.78","6,251,240,000"
"1994-11-30T22:00:00.000Z","459.27","1.23","0.40","6,351,530,000"
"1994-12-31T22:00:00.000Z","470.42","2.43","1.60","6,852,060,000"
"1995-01-31T22:00:00.000Z","487.39","3.61","2.78","6,330,100,000"
"1995-02-28T22:00:00.000Z","500.71","2.73","1.90","7,792,400,000"
"1995-03-31T21:00:00.000Z","514.71","2.80","1.96","6,307,030,000"
"1995-04-30T21:00:00.000Z","533.40","3.63","2.80","7,555,690,000"
"1995-05-31T21:00:00.000Z","544.75","2.13","1.30","7,555,650,000"
"1995-06-30T21:00:00.000Z","562.06","3.18","2.35","7,307,960,000"
"1995-07-31T21:00:00.000Z","561.88","-0.03","-0.86","7,146,620,000"
"1995-08-31T21:00:00.000Z","584.41","4.01","3.18","7,052,830,000"
"1995-09-30T22:00:00.000Z","581.50","-0.50","-1.33","8,043,320,000"
"1995-10-31T22:00:00.000Z","605.37","4.10","3.27","7,602,150,000"
"1995-11-30T22:00:00.000Z","615.93","1.74","0.91","7,697,540,000"
"1995-12-31T22:00:00.000Z","636.02","3.26","2.43","9,188,050,000"
"1996-01-31T22:00:00.000Z","640.43","0.69","-0.14","8,749,960,000"
"1996-02-29T22:00:00.000Z","645.50","0.79","-0.04","8,984,200,000"
"1996-03-31T21:00:00.000Z","654.17","1.34","0.51","8,875,580,000"
"1996-04-30T21:00:00.000Z","669.12","2.29","1.45","8,921,140,000"
"1996-05-31T21:00:00.000Z","670.63","0.23","-0.61","7,930,840,000"
"1996-06-30T21:00:00.000Z","639.95","-4.57","-5.41","8,849,860,000"
"1996-07-31T21:00:00.000Z","651.99","1.88","1.05","7,380,320,000"
"1996-08-31T21:00:00.000Z","687.33","5.42","4.59","8,064,070,000"
"1996-09-30T21:00:00.000Z","705.27","2.61","1.78","9,703,670,000"
"1996-10-31T22:00:00.000Z","757.02","7.34","6.51","8,763,850,000"
"1996-11-30T22:00:00.000Z","740.74","-2.15","-2.98","9,089,170,000"
"1996-12-31T22:00:00.000Z","786.16","6.13","5.30","11,635,830,000"
"1997-01-31T22:00:00.000Z","790.82","0.59","-0.24","9,715,930,000"
"1997-02-28T22:00:00.000Z","757.12","-4.26","-5.09","10,120,760,000"
"1997-03-31T21:00:00.000Z","801.34","5.84","5.01","10,454,880,000"
"1997-04-30T21:00:00.000Z","848.28","5.86","5.03","10,106,650,000"
"1997-05-31T21:00:00.000Z","885.14","4.35","3.51","10,857,950,000"
"1997-06-30T21:00:00.000Z","954.31","7.81","6.98","11,958,120,000"
"1997-07-31T21:00:00.000Z","899.47","-5.75","-6.58","10,606,100,000"
"1997-08-31T21:00:00.000Z","947.28","5.32","4.48","11,383,000,000"
"1997-09-30T21:00:00.000Z","914.62","-3.45","-4.28","14,017,260,000"
"1997-10-31T22:00:00.000Z","955.40","4.46","3.63","10,173,620,000"
"1997-11-30T22:00:00.000Z","970.43","1.57","0.74","11,958,880,000"
"1997-12-31T22:00:00.000Z","980.28","1.02","0.18","12,733,830,000"
"1998-01-31T22:00:00.000Z","1,049.34","7.04","6.21","11,656,550,000"
"1998-02-28T22:00:00.000Z","1,101.75","4.99","4.16","13,719,590,000"
"1998-03-31T21:00:00.000Z","1,111.75","0.91","0.08","13,656,060,000"
"1998-04-30T21:00:00.000Z","1,090.82","-1.88","-2.71","11,477,140,000"
"1998-05-31T21:00:00.000Z","1,133.84","3.94","3.11","13,551,970,000"
"1998-06-30T21:00:00.000Z","1,120.67","-1.16","-1.99","14,194,800,000"
"1998-07-31T21:00:00.000Z","957.28","-14.58","-15.41","15,071,550,000"
"1998-08-31T21:00:00.000Z","1,017.01","6.24","5.41","16,714,080,000"
"1998-09-30T21:00:00.000Z","1,098.67","8.03","7.20","18,001,650,000"
"1998-10-31T22:00:00.000Z","1,163.63","5.91","5.08","13,451,280,000"
"1998-11-30T22:00:00.000Z","1,229.23","5.64","4.81","15,181,450,000"
"1998-12-31T22:00:00.000Z","1,279.64","4.10","3.27","16,213,500,000"
"1999-01-31T22:00:00.000Z","1,238.33","-3.23","-4.06","14,555,860,000"
"1999-02-28T22:00:00.000Z","1,286.37","3.88","3.05","18,002,500,000"
"1999-03-31T21:00:00.000Z","1,335.18","3.79","2.96","18,523,200,000"
"1999-04-30T21:00:00.000Z","1,301.84","-2.50","-3.33","15,880,260,000"
"1999-05-31T21:00:00.000Z","1,372.71","5.44","4.61","16,079,170,000"
"1999-06-30T21:00:00.000Z","1,328.72","-3.20","-4.04","15,332,930,000"
"1999-07-31T21:00:00.000Z","1,320.41","-0.63","-1.46","15,818,550,000"
"1999-08-31T21:00:00.000Z","1,282.71","-2.86","-3.69","16,438,700,000"
"1999-09-30T21:00:00.000Z","1,362.93","6.25","5.42","18,832,000,000"
"1999-10-31T22:00:00.000Z","1,388.91","1.91","1.07","18,384,820,000"
"1999-11-30T22:00:00.000Z","1,469.25","5.78","4.95","19,640,690,000"
"1999-12-31T22:00:00.000Z","1,394.46","-5.09","-5.92","21,494,400,000"
"2000-01-31T22:00:00.000Z","1,366.42","-2.01","-2.84","20,912,000,000"
"2000-02-29T22:00:00.000Z","1,498.58","9.67","8.84","26,156,200,000"
"2000-03-31T21:00:00.000Z","1,452.43","-3.08","-3.91","20,106,460,000"
"2000-04-30T21:00:00.000Z","1,420.60","-2.19","-3.02","19,898,300,000"
"2000-05-31T21:00:00.000Z","1,454.60","2.39","1.56","21,738,300,000"
"2000-06-30T21:00:00.000Z","1,430.83","-1.63","-2.47","19,089,100,000"
"2000-07-31T21:00:00.000Z","1,517.68","6.07","5.24","20,363,700,000"
"2000-08-31T21:00:00.000Z","1,436.51","-5.35","-6.18","20,838,300,000"
"2000-09-30T21:00:00.000Z","1,429.40","-0.49","-1.33","25,951,400,000"
"2000-10-31T22:00:00.000Z","1,314.95","-8.01","-8.84","20,532,300,000"
"2000-11-30T22:00:00.000Z","1,320.28","0.41","-0.43","23,610,800,000"
"2000-12-31T22:00:00.000Z","1,366.01","3.46","2.63","27,829,800,000"
"2001-01-31T22:00:00.000Z","1,239.94","-9.23","-10.06","21,644,400,000"
"2001-02-28T22:00:00.000Z","1,160.33","-6.42","-7.25","27,806,610,000"
"2001-03-31T21:00:00.000Z","1,249.46","7.68","6.85","25,409,990,000"
"2001-04-30T21:00:00.000Z","1,255.82","0.51","-0.32","24,525,900,000"
"2001-05-31T21:00:00.000Z","1,224.38","-2.50","-3.34","24,748,030,000"
"2001-06-30T21:00:00.000Z","1,211.23","-1.07","-1.91","23,793,710,000"
"2001-07-31T21:00:00.000Z","1,133.58","-6.41","-7.24","23,359,200,000"
"2001-08-31T21:00:00.000Z","1,040.94","-8.17","-9.00","25,025,290,000"
"2001-09-30T21:00:00.000Z","1,059.78","1.81","0.98","29,951,280,000"
"2001-10-31T22:00:00.000Z","1,139.45","7.52","6.69","26,330,000,000"
"2001-11-30T22:00:00.000Z","1,148.08","0.76","-0.07","25,128,570,000"
"2001-12-31T22:00:00.000Z","1,130.20","-1.56","-2.39","29,746,200,000"
"2002-01-31T22:00:00.000Z","1,106.73","-2.08","-2.91","26,047,600,000"
"2002-02-28T22:00:00.000Z","1,147.39","3.67","2.84","26,563,200,000"
"2002-03-31T21:00:00.000Z","1,076.92","-6.14","-6.97","28,568,900,000"
"2002-04-30T21:00:00.000Z","1,067.14","-0.91","-1.74","26,905,500,000"
"2002-05-31T21:00:00.000Z","989.82","-7.25","-8.08","29,981,510,000"
"2002-06-30T21:00:00.000Z","911.62","-7.90","-8.73","42,228,720,000"
"2002-07-31T21:00:00.000Z","916.07","0.49","-0.34","29,298,400,000"
"2002-08-31T21:00:00.000Z","815.28","-11.00","-11.83","27,723,710,000"
"2002-09-30T21:00:00.000Z","885.76","8.64","7.81","37,856,310,000"
"2002-10-31T22:00:00.000Z","936.31","5.71","4.88","29,200,960,000"
"2002-11-30T22:00:00.000Z","879.82","-6.03","-6.86","25,993,640,000"
"2002-12-31T22:00:00.000Z","855.70","-2.74","-3.57","30,749,580,000"
"2003-01-31T22:00:00.000Z","841.15","-1.70","-2.53","25,235,300,000"
"2003-02-28T22:00:00.000Z","848.18","0.84","0","30,080,030,000"
"2003-03-31T21:00:00.000Z","916.92","8.10","7.27","29,669,610,000"
